"Sun, Dec 23, 2018, 11:00 AM",2nd to last week to catch crab,edgewater beach park (boeing dock),1500 1st st · mukilteo,"the crabbing season is almost over. this is my last weekend to be able to catch some crab. my freezer is run low and winter is here.. i need more crabs (dungeness that is). this will be a two dive event, come for the 1st or 2nd or both. 2nd dive must be over by 4:21 pm (sunset), park closes at duck. -1st slash to be around 11:30 -2nd slash to be around 2 (pending current condition) open to all divers, crabbers (aka people who dives for crabs) or recreational (divers not looking for crabs). what to bring: - crab license (if you are crabbing) - crab bag and ruler. (if you are crabbing) - your gear.",https://www.meetup.com/Marker-Buoy-Dive-Club/events/257163507/
"Thu, Dec 20, 2018, 10:00 AM",around the horn at cove two,alki cove 2,"1660 harbor ave sw · seattle, wa","join bruce brown and i as we make another circumnavigation around the cove horn. we'll be starting off in cove two and following the deep line around to cove three, then coming back. this means we'll be spending some time right around 110' feet or so, making nitrox required. if you aren't comfortable going deepish this won't be the dive for you and air won't give you enough bottom time to make the trip without going into deco. a lesson i learned the first time the hard way. :) we're looking to arrive at 10am and splash when ready after that, likely by 10:30 or so. one tank dive, come along and do some exploring with us.",https://www.meetup.com/Marker-Buoy-Dive-Club/events/257241086/
"Tue, Dec 18, 2018, 6:00 PM",cove tuesday,alki cove 2,"1660 harbor ave sw · seattle, wa","taco tuesday... not for divers, we do cove 2 tuesday.. join me at cove 2 this tuesday. open to all aow since it is a night dive or people with night dive experience. what to bring: - 2 lights. - tank light. - your gear. meet at 6 slash at 6:30 or when you are ready.",https://www.meetup.com/Marker-Buoy-Dive-Club/events/257162224/
"Thu, Dec 13, 2018, 6:15 PM",1 tank mukilteo night dive,mukilteo lighthouse park,"609 front street · mukilteo, wa","last dive here was great we saw alot, this is a repeat (same site) but at night. open to all aow divers. no current experience needed. bring 2 lights. crab bag (optional, crabbing is ok there) meet at 6:15 pm. slash at 6:45 pm. we typically see buffalo and sailfin sculpins, rockfish, pricklebacks, red octos, and crescent gunnels. we've seen a juvenile wolf eel and hooded nudibranchs as well. mukilteo lighthouse has paid parking at $2 per hour. restrooms are available on site.",https://www.meetup.com/Marker-Buoy-Dive-Club/events/256725930/
"Tue, Dec 11, 2018, 7:00 PM",mbdc board meeting,university heights community center,"5031 university way ne · seattle, wa",• what we'll do monthly board meeting. the usual agenda applies - and a call for priority topics will go out in advance to shape each month's discussion. please rsvp so that we know if we have a quorum. members are welcome to attend. just let us know!,https://www.meetup.com/Marker-Buoy-Dive-Club/events/bqgdfqyxqbpb/
"Sun, Dec 9, 2018, 12:30 PM",west seattle dive,alki junkyard,"alki and 64th · seattle, wa","beautiful slack/current combination. come for 1 or 2 dives. 1st dive slash @ 1:10 pm so meet by 12:40 am 2nd dive slash at 4:30 pm so meet by 4 pm. between the two dives, we can go eat at one of the local restaurant or bring your lunch... parking free parking along the street. restrooms nearby about 150 feet by the statue of liberty.",https://www.meetup.com/Marker-Buoy-Dive-Club/events/255973460/
"Sun, Dec 9, 2018, 7:30 AM",south sound weekend boat dive,tyee marina,5618 marine view dr · tacoma,"hope to see you diving with the dive charter sea ya diving! it will be a fun day of diving complemented by delicious food! our intended dive sites are kvi tower and maury island barges. kvi tower's most popular site consists of a series of cement columns and rocks that make up the primary reef directly in from of the orange tower. they are covered with plumose anemones and swarmed with rock fish, perch, sculpin, greenling, etc. the structure is beautiful and reaches from approximately 30ft to 110ft with some boulders scattered up as far as 15ft on a low tide. about 50 yards away to the south is another finger of boulders that extends from about 60ft to 120ft. the reef extends on a steep sloping bottom that gets deep rapidly. the shallows are covered in eel grass and sea lettuce and house all sorts of small creatures such as gunnels and sole and make a great spot for safety stops. visibility tends to be good and current is usually mild. maury island barges has chunks of the original barges still intact creating hiding places for perch, lingcod and rockfish. you will usually see quite a few kelp greenling and ratfish here as well. we have also seen dogfish and the occasional sea lion! the barges intersect so you can easily swim from the remains of one barge to the others. max depth is about 80' at the stern of the deepest barge. you should have at least an advanced certification with experience diving in currents, depths deeper than 60′, good buoyancy skills and experience in mid water ascents using a surface marker buoy (smb). to ensure that everyone can ""get their money's worth"" from the dive, unless you are signing up with buddy who is okay with shorter dive times, you should be able to get 60 minutes (or somewhere close to it) from your tank. to sign up - sign up on meetup, then go immediately to the sea ya diving website www.seayadivingwa.com to pay for and reserve your spot ($85).",https://www.meetup.com/Marker-Buoy-Dive-Club/events/255684255/
"Sat, Dec 8, 2018, 11:00 AM",down south current dive,day island wall,"day island blvd. w. 19 st. sw (cross street) · tacoma, wa","day island north entrance going north and return. meetup 11 am and splash 11:47 am. should be a mild current, but this is di and it does have a mind of its own, so come prepared for the worst and bring your trowel unfortunately rich and i will not be able to stay for the after dive luncheon, but that shouldn't stop you. please make every effort to carpool. the last time we took up a lot of space and i do not wish to upset our neighbourhood host. for this reason, i am limiting this to 10 divers. must have smb and know how to inflate it in mid-water and be comfortable in a current. any questions call me 206-941-8004",https://www.meetup.com/Marker-Buoy-Dive-Club/events/256869488/
"Sat, Dec 8, 2018, 7:30 AM",one tank down south dive,three tree,"3725 sw 170th st · burien, wa","three tree open to all skill levels. 7:30 am meetup, 8 am splash. have your gear ready for a quick gear up. if you are slow to set up come earlier. we have been finding lumpsuckers in 10 feet of water. so, if you have never seen one or enjoy photographing them you may get lucky. because i need to be at another dive site, i will depart three tree no later than 10 am. must have working primary and secondary lights",https://www.meetup.com/Marker-Buoy-Dive-Club/events/256869372/
"Fri, Dec 7, 2018, 9:30 AM",north slacker dive,silver cloud inn mukilteo waterfront,718 front st · mukilteo,"calling all slackers!! mukilteo dive! bruce & i are going to try this out friday morning. meet at the north end of the silver cloud inn. 9:30 a.m. meet, 10:30 a.m. splash. this should be fine for all skill levels.",https://www.meetup.com/Marker-Buoy-Dive-Club/events/257010172/
